make_model,body_type,price,vat,km,registration,hp,previous_owners,make,model,body_color,paint_type,nr_of_doors,nr_of_seats,gearing_type,displacement,weight,drive_chain,fuel,gears,country_version,cons_combined,cons_city,cons_country,air_cond,bluetooth,age,upholstery_type,co2_emission
Audi A1,Compact,18470,VAT deductible,12000,04/2018,70.0,2,Audi,A1,White,Metallic,5.0,4.0,Automatic,999.0,1180.0,front,Benzin,7.0,Germany,4.6,5.6,4.0,Air conditioning,Bluetooth,1,Cloth,107.0
Audi A1,Compact,18444,VAT deductible,50066,02/2016,92.0,1,Audi,A1,Grey,Metallic,2.0,4.0,Automatic,1395.0,1180.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,Air conditioning,CD player,3,Cloth,112.0
Audi A1,Compact,18400,VAT deductible,51484,01/2017,71.0,1,Audi,A1,Red,Metallic,5.0,4.0,Automatic,999.0,1065.0,front,Benzin,7.0,Netherlands,4.4,5.4,3.8,Air conditioning,On-board computer,2,Cloth,103.0
Audi A1,Sedans,18400,VAT deductible,14770,05/2018,85.0,1,Audi,A1,Black,Metallic,5.0,4.0,Automatic,1598.0,1135.0,front,Diesel,7.0,Germany,3.8,4.6,3.3,Air conditioning,Bluetooth,1,Cloth,99.0
Audi A1,Sedans,18900,VAT deductible,12415,05/2018,85.0,1,Audi,A1,Black,Metallic,5.0,5.0,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,Armrest,Bluetooth,1,Cloth,105.0
Audi A1,Sedans,18900,VAT deductible,26064,05/2018,85.0,1,Audi,A1,Silver,Metallic,5.0,4.0,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,Air conditioning,Bluetooth,1,Cloth,105.0
Audi A1,Sedans,18900,VAT deductible,16500,05/2018,85.0,1,Audi,A1,Black,Metallic,5.0,5.0,Automatic,1598.0,1275.0,front,Diesel,7.0,Italy,4.0,4.6,3.6,Air conditioning,Bluetooth,1,Cloth,105.0
Audi A1,Sedans,18900,Price negotiable,9000,06/2016,92.0,1,Audi,A1,Black,Metallic,5.0,4.0,Automatic,1395.0,1215.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,Leather steering wheel,Radio,3,Part/Full Leather,112.0
Audi A1,Sedans,18900,VAT deductible,12402,05/2018,85.0,1,Audi,A1,Black,Metallic,5.0,5.0,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,Armrest,Bluetooth,1,Part/Full Leather,105.0
Audi A1,Sedans,18900,VAT deductible,14702,05/2018,85.0,1,Audi,A1,White,Metallic,5.0,5.0,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,Armrest,Bluetooth,1,Part/Full Leather,105.0
Audi A1,Sedans,18900,VAT deductible,14523,05/2018,85.0,1,Audi,A1,White,Metallic,5.0,4.0,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,Air conditioning,CD player,1,Cloth,105.0
Audi A1,Sedans,18900,VAT deductible,9082,05/2018,85.0,0,Audi,A1,Black,Metallic,5.0,5.0,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,Armrest,Bluetooth,1,Cloth,105.0
Audi A1,Sedans,18900,VAT deductible,9580,05/2018,85.0,0,Audi,A1,Blue,Metallic,5.0,4.0,Automatic,1598.0,1175.0,front,Diesel,5.0,Germany,3.5,4.3,3.1,Air conditioning,CD player,1,Cloth,92.0
Audi A1,Sedans,18900,VAT deductible,10013,06/2018,85.0,1,Audi,A1,Blue,Metallic,5.0,4.0,Automatic,1598.0,1175.0,front,Diesel,5.0,Germany,3.5,4.3,3.1,Air conditioning,CD player,1,Cloth,92.0
